id,epoch,train_loss,val_loss,lr,timestamp,fold,val_AUC,seed,batch_size,num_workers,train_only,lr,loss,backbone_pooling,backbone,dropout,verbose,mel,spec_aug,metrics,scheduler,model,num_labels,mix,pretrained,data_path
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,10,11.73291518818587,1.5679735320154577,0.000250005,2026-05-12 16:19:24.153158,0,0.9853096330918862,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,11,11.581014047376812,1.4812436760403216,0.00021089716591226752,2026-05-12 16:26:40.713379,0,0.985655181036239,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,12,11.280056916177273,1.4664108965080231,0.00017275229649123502,2026-05-12 16:33:51.567245,0,0.9864760168807184,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,13,11.02387011051178,1.4340608245693147,0.00013650964501761198,2026-05-12 16:41:05.263381,0,0.9866031634901578,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,14,10.804282791446894,1.4186806650832295,0.00010306162585314319,2026-05-12 16:48:12.807148,0,0.9867260458373917,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,15,10.662140969187021,1.4261411991901696,7.323184023726905e-05,2026-05-12 16:55:28.076880,0,0.9866980883480837,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,16,10.525680262129754,1.4060438976157457,4.775479649123503e-05,2026-05-12 17:02:59.620576,0,0.9868997453093108,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,17,10.421144736930728,1.3541427263990045,2.7257823985528992e-05,2026-05-12 17:10:23.415340,0,0.9876733531677205,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,18,10.381509978789836,1.3507417044602334,1.224562620879309e-05,2026-05-12 17:17:43.498214,0,0.9873679184261244,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
643f54355845bd7476006a03d5ac95a83fcaa888a0d8efd3442245582a036c3b,19,10.34459975687787,1.3718593907542527,3.0878532929185607e-06,2026-05-12 17:25:05.301226,0,0.9870057339727349,2,32,4,False,0.0005,BCEWithLogitsLoss(),avg,tf_efficientnetv2_b0,0.2,2,"{'n_mels': 256, 'f_min': 20, 'n_fft': 2048, 'target_size': (256, 256)}","{'enable': True, 'p': 0.3, 'freq_mask_param': 12, 'time_mask_param': 24, 'num_masks': 1}",[<function AUC at 0x7f198562ce50>],True,<class '__main__.BirdModel'>,234,"{'alpha': 0.5, 'theta': 0.8}",True,/home/elicer/birdclef-2026
